member_id,name_masked,gender,age,city,first_visit_date,last_visit_date,total_spend,visit_count,source_channel,is_vip,tags
M001,张*,女,28,上海,2024-03-12,2025-06-18,18600,6,抖音,true,高价值
M002,李*,女,34,上海,2024-01-05,2025-07-02,29800,4,老客转介绍,true,高价值
M003,王*,女,25,杭州,2025-05-20,2025-05-20,3800,1,美团,false,新客
M004,陈*,男,41,上海,2023-11-02,2024-12-15,9200,3,大众点评,false,沉睡
M005,刘*,女,31,杭州,2024-08-09,2025-06-30,15400,5,抖音,false,
M006,赵*,女,29,上海,2024-02-18,2025-07-10,22100,7,小红书,true,高价值
M007,孙*,女,36,上海,2023-09-21,2024-10-05,6800,2,百度,false,沉睡
M008,周*,女,27,杭州,2025-04-11,2025-04-11,4200,1,美团,false,新客
M009,吴*,女,33,上海,2024-06-03,2025-07-01,33500,9,老客转介绍,true,高价值
M010,郑*,男,38,杭州,2024-10-14,2025-05-22,11000,4,抖音,false,
M011,冯*,女,30,上海,2024-12-01,2025-07-12,12700,5,小红书,false,
M012,蒋*,女,26,杭州,2025-06-01,2025-06-01,3600,1,美团,false,新客
M013,韩*,女,42,上海,2023-07-08,2024-11-20,8100,3,大众点评,false,沉睡
M014,杨*,女,32,上海,2024-09-19,2025-07-08,19800,6,抖音,true,
M015,朱*,女,28,杭州,2025-03-15,2025-03-15,4500,1,美团,false,新客
M016,秦*,女,35,上海,2024-04-22,2025-06-25,26500,8,老客转介绍,true,高价值
M017,许*,女,29,杭州,2024-11-30,2025-07-05,13900,5,小红书,false,
M018,何*,男,45,上海,2023-10-12,2024-09-18,7400,2,百度,false,沉睡
M019,吕*,女,31,上海,2024-07-07,2025-07-11,21200,7,抖音,true,
M020,施*,女,27,杭州,2025-05-28,2025-05-28,3900,1,美团,false,新客
